titulo,empresa,ubicacion,link,salario,tipo_contrato,modalidad,requisitos,fecha_publicacion
Practicante universitario en ciencia de datos o data science (Vacante de Inclusión Cafam),No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-universitario-en-ciencia-de-datos-o-data-science-vacante-de-inclusion-cafam-vacante-de-inclusion-cafam-en-bogota-dc-DBA99099CCC3621461373E686DCF3405#lc=ListOffers-Score4-0,"$ 1.423.500,00 (Mensual)",Contrato de aprendizaje,No especificado,No especificado,2025-03-29
Docente de Especialización en Ciencia de Datos,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-docente-de-especializacion-en-ciencia-de-datos-en-bogota-dc-DD7FE604F3CA1A4E61373E686DCF3405#lc=ListOffers-Score4-1,No especificado,Contrato a término fijo,No especificado,No especificado,2025-03-26
Analista senior auditoria,BANCO W S.A.,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-senior-auditoria-cali-en-cali-07A41C2521B4101C61373E686DCF3405#lc=ListOffers-Score3-2,"$ 5.675.900,00 (Mensual)",Contrato a término indefinido,Híbrido presencial teletrabajo,No especificado,No especificado
Científico de Datos,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-python-r-sql-en-bogota-dc-E8F2FAA148E712AF61373E686DCF3405#lc=ListOffers-Score3-3,No especificado,Contrato a término indefinido,Híbrido presencial teletrabajo,No especificado,No especificado
Gerente de ingeniería de aprendizaje Automático,LOGISTICA LABORAL S.A.S.,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-gerente-de-ingenieria-de-aprendizaje-automatico-en-bogota-dc-2AE6E9A1D4403B2861373E686DCF3405#lc=ListOffers-Score3-4,"$ 19.000.000,00 (Mensual)",Contrato a término indefinido,Híbrido presencial teletrabajo,No especificado,No especificado
Coordinador de mercadeo profesional con especialización profesional,Corporación Universitaria Minuto de Dios,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-coordinador-de-mercadeo-profesional-con-especializacion-profesional-en-itagui-antioquia-en-itagui-53EB12CC1FB471CC61373E686DCF3405#lc=ListOffers-Score3-5,No especificado,Contrato a término fijo,No especificado,No especificado,No especificado
Científico de datos Senior,SQDM s.a.s.,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-senior-en-bogota-dc-10A730FC00C9F25061373E686DCF3405#lc=ListOffers-Score3-6,"$ 1.000.000,00 (Mensual)",Contrato a término indefinido,No especificado,No especificado,No especificado
Gerente Senior de Producto para el Equipo de Fraude,LOGISTICA LABORAL S.A.S.,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-gerente-senior-de-producto-para-el-equipo-de-fraude-en-bogota-dc-9735ED299052097761373E686DCF3405#lc=ListOffers-Score3-7,"$ 15.000.000,00 (Mensual)",Contrato a término indefinido,Híbrido presencial teletrabajo,No especificado,No especificado
Lider de Consultoría y Data,Staffing de Colombia,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-lider-de-consultoria-y-data-en-bogota-dc-BDA4C3BB6449029361373E686DCF3405#lc=ListOffers-Score3-8,"$ 4.000.000,00 (Mensual)",Contrato de Obra o labor,No especificado,No especificado,No especificado
Software Development Full Stack,GTC INGENIERIA SAS,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-software-development-full-stack-en-bogota-dc-7EF292C22CE0EFF261373E686DCF3405#lc=ListOffers-Score3-9,"$ 3.799.000,00 (Mensual)",Contrato a término indefinido,No especificado,No especificado,No especificado
Analista de datos,Manpower Group Colombia,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-datos-en-medellin-E101797A4E4EB4F161373E686DCF3405#lc=ListOffers-Score3-10,No especificado,Contrato a término indefinido,No especificado,No especificado,No especificado
analista junior de mejoramiento,Dar Ayuda Temporal,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-junior-de-mejoramiento-en-bogota-dc-621FD60CFE7FFB2761373E686DCF3405#lc=ListOffers-Score3-11,"$ 2.500.000,00 (Mensual)",Contrato de Obra o labor,No especificado,No especificado,No especificado
Especialista de KPIs Management and Reporting English C1,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-especialista-de-kpis-management-and-reporting-english-c1-en-medellin-F0E08ACB7BB74C2C61373E686DCF3405#lc=ListOffers-Score3-12,No especificado,Contrato a término indefinido,No especificado,No especificado,No especificado
Entrenador/a deportivo/a,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-entrenadora-deportivoa-con-un-ano-de-experiencia-en-el-cargo-en-medellin-524E57BF0802E2AE61373E686DCF3405#lc=ListOffers-Score3-13,"$ 1.500.000,00 (Mensual)",Contrato a término fijo,No especificado,No especificado,No especificado
Jefe analitica,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-jefe-analitica-en-manizales-81B3F3207145242F61373E686DCF3405#lc=ListOffers-Score3-14,No especificado,Contrato a término fijo,Híbrido presencial teletrabajo,No especificado,No especificado
Consultor comercio Formal Bogotá,COLGAS S.A. E.S.P.,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-consultor-comercio-formal-bogota-en-bogota-dc-BECFEA0472B2849B61373E686DCF3405#lc=ListOffers-Score3-15,"$ 2.193.000,00 (Mensual)",Contrato a término indefinido,No especificado,No especificado,No especificado
Senior Net Developer OTD,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-senior-net-developer-otd-respuesta-inmediata-grandes-beneficios-en-bogota-dc-78DB7BBDD01B673061373E686DCF3405#lc=ListOffers-Score3-16,No especificado,Contrato a término indefinido,No especificado,No especificado,No especificado
"Back Oficce Técnico,Tecnólogo o estudiante con conocimiento en herramientas de bases de datos",VENTAS Y SERVICIOS S.A.,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-back-oficce-tecnicotecnologo-o-estudiante-con-conocimiento-en-herramientas-de-bases-de-datos-visualizacion-esta-vacante-es-para-titoberin-en-bogota-dc-E2DF12338594F3F461373E686DCF3405#lc=ListOffers-Score3-17,No especificado,Contrato a término indefinido,No especificado,No especificado,2025-03-24
Docente bachillerato,AGENCIA DE EMPLEO COMFAMA,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-docente-bachillerato-en-rionegro-A28CD84CDCE0E0D961373E686DCF3405#lc=ListOffers-Score3-18,"$ 3.000.065,00 (Mensual)",Contrato a término fijo,No especificado,No especificado,No especificado
Profesional II Back 1225387 De Domingo a Domingo,NUEVA EPS S.A,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-profesional-ii-back-1225387-de-domingo-a-domingo-bogota-en-bogota-dc-660ADACDF30299DB61373E686DCF3405#lc=ListOffers-Score3-19,"$ 5.385.000,00 (Mensual)",Contrato a término indefinido,No especificado,No especificado,2025-03-24
